,Date_InitialTag,Transect,TransectNum,OldTagNum,NewTagNum,Species,Meter,Meters_90,Direction,Size_Class,MaxDiameter,Height,Date_DocumentedDisease,Date_DocumentedMortality,Notes_062019,062019_Condition,062019_Percentage,Notes_052022,052022_Condition,052022_Percentage,Notes_122022,122022_Condition,122022_Percentage,Notes_092023,092023_Condition,092023_Percentage,Notes_112023,112023_Condition,112023_Percentage,Notes_122023,122023_Condition,122023_Percentage,Notes_012024,012024_Condition,012024_Percentage,Notes_022024,022024_Condition,022024_Percentage,Notes_042024,042024_Condition,042024_Percentage,062024_Condition,062024_Percentage,Notes_062024,082024_Condition,082024_Percentage,Notes_082024,122024_Condition,122024_Percentage,Notes_122024,062025_Condition,062025_Percentage,Notes_062025,immune_y/n,checked_colonies
63,6/25/19,SR30N,2,62,72,SSID,4.3,0.2,right,4,32,20,2/22/24,Healthy,orange_tag,Healthy,NA,15% mort,"CLB,DC","30%,5%",20% mort,"CLB,DC","40%,10%",,CLB,100%,98% Bleach 2% Pale ,"CLP,CLB","2%,98%",85% Bleached ,CLB,85%,85% Bleached,CLB,85%,"Diseased, 30% bleached, 10% pale",Diseased,,,Diseased,,Diseased,,"DC, sloughy, weird ssid disease",CLP,80%,,"CLB,CLP","10%,20%",5% mortality,Healthy,,,y,x
64,6/25/19,SR30N,2,396,73,SSID,2.9,0.45,left,4,35,21,Healthy,Healthy,,Healthy,NA,NA,Healthy,NA,5% mort ,CLB,10%,,"CLP,CLB","50%,50%",60% Bleached ,CLB,60%,80% Bleached ,CLB,30%,20% Bleached,CLB,20%,5% bleached,CLB,5%,,Healthy,,DC,2%,no picture?,CLP,80%,80% CLP; blue,CLB,5%,2% mortality,Healthy,,,y,x
65,6/22/19,SR30N,2,343,74,SSID,3.5,2,right,5,54,23,Healthy,Healthy,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,,Healthy,NA,10% mort,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,"CLP, DC","20%, 10%",85% mortality,Diseased,,,n,x
66,6/21/19,SR30N,2,352,75,SSID,1.2,0.2,right,5,85,65,5/22/22,Diseased,15% mort,Healthy,NA,50% mort,Diseased,NA,95% mort,Diseased,,Almost Dead,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,CLP,100%,99% mortality,Dead,,,n,x
67,5/24/22,SR30N,2,76,76,OFAV,1.5,2.5,left,NA,NA,NA,Healthy,Healthy,,NA,NA,no photos,Healthy,NA,,Healthy,,,Healthy,,Healthy ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
68,5/24/22,SR30N,2,77,77,OANN,8,0.5,left,NA,NA,NA,Healthy,Healthy,,NA,NA,fish predation,Healthy,NA,fish predation,Healthy,,"70%Bleach, 20% Pale ","CLP,CLB","20%,70%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,CLP,50%,Not_Visited,,,Not_Visited,,,CLP,40%,20% mortality,CLP,20%,,n,x
69,5/24/22,SR30N,2,78,78,DLAB,18,1,right,NA,NA,NA,Healthy,Healthy,,NA,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,10%,5% mortality,Healthy,,,n,x
70,5/24/22,SR30N,2,79,79,OFAV,30,3,left,NA,NA,NA,Healthy,Healthy,,NA,NA,no photos,Healthy,NA,,Healthy,,,CLB,20%,"2% Bleached, 60% Pale ","CLP,CLB","60%,2%",3% Paling ,CLP,3%,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
71,5/24/22,SR30N,2,80,80,OFAV,13.5,0,left,NA,NA,NA,12/4/22,Diseased,,NA,NA,no photo;15% mort,Healthy,NA,20% mort,Diseased,,"20% Bleach, 20% Pale, sampled as disease","CLP,CLB","20%,20%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample - snails or disease?,CLP,10%,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,70% mortality,Healthy,,,n,help (012024 - disease or snail?)
,6/21/24,SR30N,2,51/not 51,99,SSID,11,4.8,left,,,,Healthy,Healthy,,,,,,,,,,,CLP,95%,90% CLB; Coral next to 51; Sampled RNA/DNA at bleaching/healthy margin; immune was bleached tissue,CLB,90%,,CLP,80%,,CLB,60%,"25% pale, CTL",CLP,30%,"DC, CTL",DC,20%,Diseased,,weird SSID disease,CLP,40%,40% CLP; slightly blue,Healthy,,10% mortality,Healthy,,,y,help (042024 and 062024 - diseased or no?)
76,6/22/19,SR30N,2,311,311,MMEA,14.6,2.3,right,3,NA,NA,Unknown,5/20/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,no photo,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
75,6/22/19,SR30N,2,320,320,MMEA,14.6,3.2,right,3,18,6,Unknown,5/22/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,no photo,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
82,6/22/19,SR30N,2,325,325,MMEA,11,3.8,left,4,NA,NA,Unknown,5/20/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,Not_found,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
74,6/22/19,SR30N,2,328,328,MMEA,10.2,4.5,right,3,18,16,Unknown,5/22/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,no photo,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
72,6/21/19,SR30N,2,330,330,MMEA,24,4,left,4,28,21,Unknown,5/22/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,NA,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
73,6/21/19,SR30N,2,344,344,MMEA,20.6,9,right,4,NA,NA,Unknown,5/22/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,no photo,Dead,NA,,Dead,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
77,6/25/19,SR30N,2,347,347,PAST,19.8,1.9,left,4,NA,NA,NA,5/20/22,tag_cut_off,Healthy,NA,NA,Not_Visited,NA,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
81,10/13/19,SR30N,2,403,403,PSTR,32.5,4.25,left,5,55,34,Unknown,5/22/22,took_syringe_samples_adjacent_to_punch,Healthy,NA,no photos,Dead,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
80,10/13/19,SR30N,2,427,427,PSTR,4.3,4.5,left,4,24,15,Unknown,5/22/22,took_syringe_samples_adjacent_to_punch,Healthy,NA,Recent_dead,Dead,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
83,6/23/19,LAGOON,3,373,373,MMEA,1,0.1,left,4,24,10,Unknown,5/20/22,,Healthy,NA,NA,Dead,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_Visited,,,,,,n,x
84,6/23/19,LAGOON,3,327,2,MCAV,0,1.8,right,4,33,19,2/24/24,Diseased,mucus_sheaths,Healthy,NA,NA,Healthy,NA,,Healthy,,20%Paling,CLP,20%,100% Pale ,CLP,100%,"20% CLP, 10% TL",CLP,20%,"10%TL, slight paling","Diseased_Other, CLP",",10%",unknown TL disease; Color has been light blue since the beginning of tag,Diseased_Other,,"looks like the same as previous months, but there are snails on 'lesion' line.., severe TL",Diseased_Other,,Diseased_Other,,"no more white lesion, reddish/black line surrounding the colony",Diseased_Other,,"originally labelled as and sampled as healthy, but black line is being defined as diseased",Healthy,,70% mortality,Healthy,,,y,x
85,6/23/19,LAGOON,3,364,3,SSID,0.2,2.3,right,5,52,21,5/20/22,Diseased,,Healthy,NA,DC/TL_(MF_SA_sheathing_TL),Diseased,20%,no photos,Diseased,,Sampled as diseased ,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,30% mortality,Diseased,,,n,x
86,10/14/19,LAGOON,3,411,4,PSTR,0,2.5,right,4,25,25,Healthy,Healthy,mucus_sample_taken_adjacent_to_punch,Healthy,NA,"20% mort, TL_(F,_SA)_sampled_as_healthy!!",Healthy,NA,,Healthy,,100% CLP,CLP,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Not_visited,,,Healthy,,,n,x
87,6/23/19,LAGOON,3,350,5,SSID,6.9,0.6,right,4,42,20,Healthy,Healthy,no photos,Healthy,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,Healthy ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,CLP,60%,"60% CLP, slightly blue",Healthy,,5% mortality,Healthy,,,y,x
88,6/23/19,LAGOON,3,353,6,PAST,6.8,0.5,right,4,24,20,Healthy,1/1/24,,Healthy,NA,NA,Healthy,NA,60% mort ,Healthy,,100% bleached ,CLB,100%,"100% Bleached, TL?",CLB,100%,"90% Mortality, 100% CLB",CLB,100%,Dead,Dead,,Not visited,Not_Visited,,,Dead,,Dead,,,Dead,,,Not_visited,,Dead,Not_visited,,,y,Help (122022 disease?)
89,6/23/19,LAGOON,3,21,7,PAST,5.6,0.5,left,NA,29,10,Healthy,4/26/24,"orange_tag, no photos",Healthy,NA,Missed_sample,Healthy,NA,,Healthy,,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,CLP,80%,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,,n,x
90,6/23/19,LAGOON,3,22,8,PAST,9.5,0.3,left,3,30,15,Healthy,4/26/24,"orange_tag, no photos",Healthy,NA,NA,Healthy,NA,,Healthy,,bleached / dead,CLB,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Dead,,Not visited,Not_Visited,,,Dead,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,,n,x
91,6/23/19,LAGOON,3,367,9,MCAV,7.6,3.5,left,5,53,39,NA,5/20/22,25% old mort,Healthy,NA,NA,Dead,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,Dead,n,x
92,6/23/19,LAGOON,3,361,10,PAST,9.8,2.5,left,4,30,10,Healthy,Healthy,,Healthy,NA,NA,Healthy,NA,,Healthy,,90%Pale,CLP,90%,"100% Bleached, 40% TL",CLB,100%,"75% Mortality, 100%CLB",CLB,100%,98% mort,Healthy,,NOT dead- but too small for immune sample,Healthy,,,Not_Visited,,Healthy,,"few isolates left, not enough for immune, predation, was called dead on the map ",Healthy,,"few polyps left, colony not big enough for immune",Not_visited,,,Dead,,,y,x
93,10/14/19,LAGOON,3,415,11,PSTR,11.2,0.2,right,4,42,48,Unknown,5/20/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,,n,x
94,6/23/19,LAGOON,3,304,12,MCAV,10.2,2.6,right,4,27,15,Unknown,5/20/22,,Healthy,NA,NA,Dead,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Dead,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,Dead,n,x
95,6/23/19,LAGOON,3,358,13,PAST,10.2,2.5,right,4,22,8,Healthy,Healthy,,Healthy,NA,NA,Healthy,NA,mucus sheating; no sample,Healthy,,,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,100%,20% mortality,Healthy,,,n,x
96,6/23/19,LAGOON,3,369,14,MCAV,12.5,0.8,left,4,27,34,Healthy,Healthy,10% mort,Healthy,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,95% Pale,CLP,95%,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,15% mortality,Healthy ,,,y,x
97,6/23/19,LAGOON,3,379,15,MCAV,12.5,0.2,left,4,29,24,5/20/22,5/24/23,mucus_sheaths,Healthy,NA,60% mort,Diseased,NA,80% mort,Diseased,,Dead,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,Dead,n,x
98,10/14/19,LAGOON,3,412,16,PSTR,14.2,2.75,left,3,24,25,Unknown,5/20/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
99,6/23/19,LAGOON,3,301,17,MCAV,14.6,2,right,4,29,14,5/20/22,12/3/22,,Healthy,NA,"50% mort, TL_(F,_A)",Diseased,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,Dead,n,x
100,6/23/19,LAGOON,3,365,18,PAST,14.8,2.5,right,3,18,13,5/20/22,Diseased,,Healthy,NA,"50% mort,TL_(F,_SA)",Diseased,NA,60% mort,Diseased,,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLB,60%,50% mortality,Healthy,,,n,x
101,6/23/19,LAGOON,3,300,19,SSID,14.9,2.6,right,4,32,27,5/20/22,Diseased,,Healthy,NA,"50% mort, TL/DC/CL_(MF,_SA,_sheathing_TL)",Diseased,NA,70% mort,Diseased,,sampled as diseased ,Diseased,,NA,Not_Visited,,NA,Not_Visited,,,Diseased,,Not visited,Diseased,,,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,97% mortality,Diseased,,,n,x
102,10/14/19,LAGOON,3,409,20,PSTR,16.5,0.25,left,4,33,20,Healthy,Healthy,"30% old mort, mucus_sample_taken_adjacent_to_punch",Healthy,NA,NA,Healthy,NA,,Healthy,,60% Pale,CLP,60%,100% Pale ,CLP,100%,Healthy ,Healthy,,Healthy,Healthy,,"Healthy, 3 snails",Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,15% mortality,Healthy,,,y,x
103,6/23/19,LAGOON,3,374,21,MCAV,22.8,0.5,left,5,45,18,Healthy,Healthy,20% old mort,Healthy,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,2% Bleach. 2% Pale - no picture,"CLP,CLB","2%,2%",2% CLP,CLP,2%,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,15% mortality,Healthy,,,y,x
104,6/23/19,LAGOON,3,363,22,MCAV,19.2,1.1,left,4,29,27,5/20/22,12/3/22,,Healthy,NA,"40% mort, TL_(F,_A)_Black_band?",Diseased,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,Not_visited,,Dead,n,x
105,6/23/19,LAGOON,3,307,23,SSID,22.9,2.6,left,5,20,12,5/20/22,Diseased,,Healthy,NA,"95% mort, TL_(MF,_SA,_sheathing_TL)",Diseased,NA,98% mort,Diseased,,Sampled as diseased ,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,very few isolates left,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,"95% mortality, only isolates left",Diseased,,,n,x
106,6/23/19,LAGOON,3,314,24,PAST,22.4,3,left,3,20,12,Unknown,5/20/22,,Healthy,NA,"Increased_mortality?_15%_old_dead,_missed_sample",Healthy,NA,,Healthy,,,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Healthy,,x,Not_Visited,,,Not_visited,,,Not_visited,,,n,19/22
133,6/23/19,LAGOON,3,24,24,SSID,31.7,2.8,right,3,NA,NA,NA,NA,"no photos, orange_tag",Healthy,NA,Not_found,Not_Visited,NA,,Not_Visited,,,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
107,6/23/19,LAGOON,3,316,26,SSID,27.6,0.7,left,4,34,18,,5/20/22,,Healthy,NA,"90% mort, TL_(MF,_SA,_sheathing_TL)",Diseased,NA,95% mort,Diseased,,dead or not found?,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
108,6/23/19,LAGOON,3,321,321,MMEA,27.6,1.8,right,4,30,28,Unknown,5/20/22,"fish predation, 10% mort",Healthy,NA,PAST_recruit_at_least_one_year_old,Dead,NA,,Dead,,,Dead,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
109,6/23/19,LAGOON,3,370,28,SSID,28.3,3.8,right,4,22,24,5/20/22,Diseased,,Healthy,NA,"5% mort, DC/TL_(MF,_A,_sheathing_TL+_white_TL)",Diseased,NA,15% mort,Diseased,,sampled as diseased ,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,"Diseased, DC",Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,,Diseased,,,n,x
110,6/23/19,LAGOON,3,345,345,MMEA,30,5,right,4,32,38,Unknown,5/20/22,,Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,,,,n,x
111,10/14/19,LAGOON,3,408,30,PSTR,29.4,2.25,left,4,44,35,Unknown,5/20/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
112,10/14/19,LAGOON,3,426,31,PSTR,31.1,3,left,4,30,15,Healthy,12/3/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,10%_old_dead_increase_from_2019?,Healthy,NA,,Dead,,,Dead,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
113,10/14/19,LAGOON,3,423,32,PSTR,34.3,3.25,right,4,30,22,Unknown,5/20/22,"mucus_sample_taken_adjacent_to_punch,_mucus_sheaths",Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,,n,x
114,6/23/19,LAGOON,3,23,33,SSID,31.7,1.1,right,3,30,15,12/3/22,Diseased,"orange_tag, no photos",Healthy,NA,NA,Healthy,NA,,Healthy,,"50% Pale, 50% Discoloration","CLP,DC","50%,50%","5% Bleach, 10% Pale ","CLP,CLB","10%,5%",Healthy ,DC,30%,Healthy,DC,30%,Healthy,DC,30%,,DC,30%,DC,10%,"10% DC - black spots, small bleach/TL spot?? (5%)",DC,40%,discoloration- some black & purple spots,Healthy,,,Healthy,,,y,help (112023-062024 - DC?? Or just healthy?)
115,6/23/19,LAGOON,3,27,34,PAST,37,2,right,3,43,24,Healthy,Healthy,"orange_tag, no photos",Healthy,NA,"old fish predation, Mucus_sheathing,_sampled_as_healthy_but_TL_recorded",Healthy,NA,,Healthy,,Healthy,Healthy,,10% Pale ,CLP,10%,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,snail & damsel predation,Healthy,,,Healthy,,,Healthy,,,y,x
116,6/23/19,LAGOON,3,29,29,MMEA,38.5,3,right,2,NA,NA,Unknown,5/20/22,"no photo, orange_tag,_accidentally_used_T3-33_sticker_on_one_of_the_tissue_samples",Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
117,6/23/19,LAGOON,3,25,36,SSID,37.4,3.7,right,3,35,24,5/20/22,Diseased,"orange_tag, no photos",Healthy,NA,"DC/TL_(MF,_SA)",Diseased,100%,,Healthy,,"Dark Spots, sampled as healthy",DC,10%,NA,Not_Visited,,NA,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,10% mortality,Diseased,,DC 20%,n,help (diseased 042024?)
119,5/20/22,LAGOON,3,NA,38,OFAV,6.2,0.8,right,NA,NA,NA,Healthy,Healthy,newly_added_May_2022,NA,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,Healthy ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy; no picture,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy ,,,y,x
120,5/20/22,LAGOON,3,NA,39,OFAV,24.7,1,right,NA,NA,NA,Healthy,Healthy,newly_added_May_2022,NA,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,Healthy ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,damsel farming,Healthy,,lots of damselfish predation,Healthy,,"20% mortality, damselfish",Healthy ,,,y,x
118,6/23/19,LAGOON,3,28/37,65,SSID,40,1.2,left,3,43,24,5/20/22,Diseased,"orange_tag, no photos",Healthy,NA,"DC/TL_(MF,_sheating_TL)",Diseased,NA,no photos,Diseased,,dead or not found?,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,CLP,5%,90% mortality,Diseased,,,n,help (dead in 122022 or 092023?)
121,12/3/22,LAGOON,3,,66,OFAV,7.9,1.6,right,NA,25,NA,,,,NA,NA,,NA,NA,,Healthy,,Healthy,Healthy,,Healthy ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,,,,,y,x
122,12/3/22,LAGOON,3,,67,MCAV,13.6,0.8,R,NA,19,37,12/3/22,9/25/23,,NA,NA,,NA,NA,70% mort,Diseased,,Dead,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Not_visited,,Dead,n,x
123,12/3/22,LAGOON,3,,68,OANN,15.8,1.6,R,NA,32,18,Healthy,Healthy,,NA,NA,,NA,NA,20% mort,Healthy,,5% Bleaching,CLB,5%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,,CLP,40%,,n,x
124,12/3/22,LAGOON,3,,69,DLAB,21.1,12,L,NA,20,22,Healthy,Healthy,,NA,NA,,NA,NA,,Healthy,,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample?,CLP,20%,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,80%,"20% mortality, snails",Healthy,,,n,x
125,12/3/22,LAGOON,3,,70,PSTR,18.8,3.2,L,NA,21,13,Healthy,Healthy,,NA,NA,,NA,NA,10% old mort,Healthy,,Paling?,CLP,100%,"90% Bleach, 10% Pale ","CLP,CLB","10%,90%","15% Bleaching, 20% Pale ","CLP,CLB","20%,15%",paling around edges,CLP,10%,Healthy,Healthy,,,Healthy,,Healthy,,,Healthy,,,CLP,100%,"80% mortality, snail+damsel",CLP,100%,,y,x
126,12/3/22,LAGOON,3,,71,MCAV,21.3,1.25,L,NA,25,44,Healthy,Healthy,,NA,NA,,NA,NA,5% mort,DC,10%,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,10% mortality,Healthy,,,n,x
127,12/3/22,LAGOON,3,,72,OANN,34.8,0.9,R,NA,33,19,Healthy,Healthy,,NA,NA,,NA,NA,fish predation,Healthy,,50% Paling,CLP,50%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,heavy snail predation,Healthy,,Not visited,Not_Visited,,snail predation,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,"60% mortality, predation",CLP,20%,,n,x
128,12/3/22,LAGOON,3,,73,DLAB,39.4,2.85,L,NA,35,35,Healthy,Healthy,,NA,NA,,NA,NA,,Healthy,,30%Pale,CLP,30%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,5%,,Healthy,,,n,x
